week_index,period,volume_kg,n_sessions
0,pre_pt,6070,1
1,pre_pt,9920,1
2,pre_pt,14100,2
3,pre_pt,11365,1
4,pre_pt,11220,1
5,pre_pt,7880,1
7,pre_pt,8000,1
8,pre_pt,9970,1
10,pre_pt,9830,1
11,pre_pt,12760,2
12,pre_pt,14305,2
13,pre_pt,9460,1
14,pre_pt,11780,1
16,pre_pt,19133,3
17,pre_pt,9770,1
18,pre_pt,7790,1
19,pre_pt,10626,1
20,pre_pt,13736,2
21,pre_pt,12569,2
24,pre_pt,6744,1
26,pre_pt,12632,2
27,pre_pt,12817,2
28,pre_pt,15936,2
29,pre_pt,17973,3
30,pre_pt,17247,2
31,pre_pt,10422,1
33,pre_pt,7247,1
34,pre_pt,15926,2
35,pre_pt,7110,1
36,pre_pt,14720,2
37,pre_pt,7406,1
39,pre_pt,9300,1
40,pre_pt,9084,1
41,pre_pt,9356,1
53,with_pt,6110,1
54,with_pt,8210,1
55,with_pt,9700,1
56,with_pt,8660,1
57,with_pt,11010,1
58,with_pt,10380,1
59,with_pt,10660,2
60,with_pt,11960,1
61,with_pt,7030,1
62,with_pt,10200,1
63,with_pt,5610,1
64,with_pt,12310,1
65,with_pt,12130,1
66,with_pt,7569,1
