YEAR,DATE,MIN_TEMP_F,MAX_TEMP_F,PRECIP_INCH
1978,1978-10-22,51,75,0.00
1979,1979-10-21,64,80,0.00
1980,1980-10-26,43,50,0.00
1981,1981-10-25,40,54,0.08
1982,1982-10-24,42,52,0.00
1983,1983-10-23,48,59,1.87
1984,1984-10-28,62,79,0.00
1985,1985-10-27,54,72,0.00
1986,1986-11-02,43,65,0.06
1987,1987-11-01,45,64,0.00
1988,1988-11-06,53,67,0.00
1989,1989-11-05,40,56,0.00
1990,1990-11-04,58,73,0.00
1991,1991-11-03,45,57,0.00
1992,1992-11-01,40,51,0.00
1993,1993-11-14,54,72,0.01
1994,1994-11-06,61,70,0.00
1995,1995-11-12,33,62,0.00
1996,1996-11-03,35,49,0.00
1997,1997-11-02,47,61,0.25
1998,1998-11-01,43,56,0.00
1999,1999-11-07,37,51,0.00
2000,2000-11-05,45,52,0.00
2001,2001-11-04,48,61,0.00
2002,2002-11-03,36,48,0.00
2003,2003-11-02,57,68,0.00
2004,2004-11-07,49,68,0.00
2005,2005-11-06,53,69,0.00
2006,2006-11-05,37,50,0.00
2007,2007-11-04,45,56,0.00
2008,2008-11-02,38,50,0.00
2009,2009-11-01,49,58,0.01
2010,2010-11-07,36,51,0.00
2011,2011-11-06,38,54,0.00
2013,2013-11-03,37,55,0.00
2014,2014-11-02,41,48,0.00
2015,2015-11-01,54,65,0.00
2016,2016-11-06,54,59,0.00
2017,2017-11-05,51,61,0.02
2018,2018-11-04,43,55,0.00
2019,2019-11-03,42,54,0.00
2021,2021-11-07,41,53,0.00
2022,2022-11-06,66,74,0.01
2023,2023-11-05,49,65,0.00
2024,2024-11-03,44,54,0.00
